snapshot_date,candidate,status,parameter_set,encapsulation_key_bytes,ciphertext_bytes,combined_bytes,relevant_memory_evidence,measurement_platform,nano_verdict,evidence_class,primary_source
2026-07-30,ML-KEM,FIPS 203,ML-KEM-512,800,768,1568,"Current C0 arena 1344 B; linked static SRAM 2016 B before stack",ATmega328P cross-link,"Retain exact math; replace execution schedule","local measured + standard",https://nvlpubs.nist.gov/nistpubs/fips/nist.fips.203.pdf
2026-07-30,ThreeBears,"NIST Round 2; not selected",BabyBear CCA,804,917,1721,"Published low-memory encapsulation 1735 B; whole CCA path about 2.4 KiB",ATmega1284,"Reject package KEM; retain AVR arithmetic lessons",published,https://orbilu.uni.lu/bitstream/10993/48811/1/CARDIS2020.pdf
2026-07-30,Saber,"NIST finalist; not selected",LightSaber,672,736,1408,"NIST cites sub-4-KiB Cortex-M4; 2026 AVR artifact lists 11262 B encapsulation stack for its build","Cortex-M4 / ATmega1284P","Reject for Nano",published,https://nvlpubs.nist.gov/nistpubs/ir/2022/NIST.IR.8413.pdf
2026-07-30,BIKE,"NIST Round 4; not selected",Level 1,1541,1573,3114,"No credible ATmega328P result located; NIST performance table is x86-64",x86-64,"Reject for Nano",published,https://nvlpubs.nist.gov/nistpubs/ir/2025/NIST.IR.8545.pdf
2026-07-30,HQC,"Selected for future NIST standardization",HQC-128,2249,4497,6746,"No credible ATmega328P fit; large artifacts and polynomial state",x86-64,"Reject for Nano; retain as diversity comparison",published,https://nvlpubs.nist.gov/nistpubs/ir/2025/NIST.IR.8545.pdf
2026-07-30,Classic McEliece,"NIST Round 4; not selected",mceliece348864,261120,96,261216,"Public key exceeds Nano flash by more than 8x",n/a,"Reject",derived from standard candidate sizes,https://nvlpubs.nist.gov/nistpubs/ir/2025/NIST.IR.8545.pdf
2026-07-30,NTRU Prime,"Research / standardization outside FIPS",sntrup653,994,897,1891,"No sub-1-KiB Nano encapsulation evidence located",n/a,"Reject for Nano",published,https://ntruprime.cr.yp.to/
2026-07-30,CTRU-Light,"TCHES 2026 research KEM",Kred-ascon,640,512,1152,"Encapsulation stack 2463 B; code 26572 B",ATmega1284P,"Research comparator only; does not prove Nano fit",published,https://github.com/whYBeKim/CTRU-Light-and-PQC-on-AVR
2026-07-30,DAWN,"ASIACRYPT 2025 research KEM",DAWN-beta,n/a,n/a,964,"No AVR implementation located",desktop,"Research comparator only",published,https://eprint.iacr.org/2025/1520
2026-07-30,SMAUG-T,"Research / Korean PQC candidate",TiMER,672,608,1280,"No reproducible Nano result; current project notes bugs in prior implementation",n/a,"Research comparator only",version-sensitive,https://kpqc.cryptolab.co.kr/smaug-t
2026-07-30,TiGER,"Research KEM",AES-256 level,928,1152,2080,"No credible Nano result located",n/a,"Reject for Nano",published,https://eprint.iacr.org/2022/1651
2026-07-30,Scabbard,"Research KEM",Sable,608,672,1280,"Encapsulation stack 5928 B",Cortex-M4,"Reject for Nano",published,https://arxiv.org/html/2409.09481
2026-07-30,Scabbard,"Research KEM",Espada,1072,1088,2160,"Encapsulation stack 1960 B before application budget",Cortex-M4,"Reject for Nano",published,https://arxiv.org/html/2409.09481
2026-07-30,PQ-IoTCrypt,"Research BRLWE proposal",IoT-Basic,n/a,n/a,n/a,"Encryption RAM about 5.1 KiB; reported post-quantum estimate about 73 bits",STM32F407VG Cortex-M4F,"Reject",published with internal inconsistencies,https://www.sciencedirect.com/science/article/pii/S2542660524003329
2026-07-30,RPE-32,"Provisional exact ML-KEM execution schedule",ML-KEM-512,800,768,1568,"Derived arena target 840 B; linked peak pending",ATmega328P target,"Selected implementation hypothesis",hypothesis,https://nvlpubs.nist.gov/nistpubs/fips/nist.fips.203.pdf
